	Time_s     F1_Hz        F2_Hz         F3_Hz         F4_Hzf
fa      0.181837   891.283417   1526.309304   2789.887296   3979.352443
fe	0.182268   554.379999   2111.580669   2833.006287   3855.538781
fi	0.177891   347.173371   2526.469589   3113.114179   3964.217736
fo	0.182744   632.134215   973.706849    2993.039209   3474.208225
fu	0.182268   422.212182   862.947384    2685.903293   4015.351172

ma	0.163379   823.506502   1420.656164   2565.715028   3439.037759
me	0.033013   510.741814   1933.347214   2590.257852   3382.075203
mi	0.031729   306.986473   2309.852175   2888.072060   3451.308261
mo	0.033467   597.541836   878.724003   2738.086024   3069.975917
mu	0.031652   655.215443   2430.290348   3532.992218   3988.641561
